country,url,continent
Afghanistan,country/afghanistan/,Asia
Albania,country/albania/,Europe
Algeria,country/algeria/,Africa
Andorra,country/andorra/,Europe
Angola,country/angola/,Africa
Anguilla,country/anguilla/,North America
Antigua and Barbuda,country/antigua-and-barbuda/,North America
Argentina,country/argentina/,South America
Armenia,country/armenia/,Asia
Aruba,country/aruba/,North America
Australia,country/australia/,Oceania
Austria,country/austria/,Europe
Azerbaijan,country/azerbaijan/,Asia
Bahamas,country/bahamas/,North America
Bahrain,country/bahrain/,Asia
Bangladesh,country/bangladesh/,Asia
Barbados,country/barbados/,North America
Belarus,country/belarus/,Europe
Belgium,country/belgium/,Europe
Belize,country/belize/,North America
Benin,country/benin/,Africa
Bermuda,country/bermuda/,North America
Bhutan,country/bhutan/,Asia
Bolivia,country/bolivia/,South America
Bosnia and Herzegovina,country/bosnia-and-herzegovina/,Europe
Botswana,country/botswana/,Africa
Brazil,country/brazil/,South America
British Virgin Islands,country/british-virgin-islands/,North America
Brunei ,country/brunei-darussalam/,Asia
Bulgaria,country/bulgaria/,Europe
Burkina Faso,country/burkina-faso/,Africa
Burundi,country/burundi/,Africa
Cabo Verde,country/cabo-verde/,Africa
Cambodia,country/cambodia/,Asia
Cameroon,country/cameroon/,Africa
Canada,country/canada/,North America
CAR,country/central-african-republic/,Africa
Caribbean Netherlands,country/caribbean-netherlands/,North America
Cayman Islands,country/cayman-islands/,North America
Chad,country/chad/,Africa
Channel Islands,country/channel-islands/,Europe
Chile,country/chile/,South America
China,country/china/,Asia
Colombia,country/colombia/,South America
Congo,country/congo/,Africa
Costa Rica,country/costa-rica/,North America
Croatia,country/croatia/,Europe
Cuba,country/cuba/,North America
Curaçao,country/curacao/,North America
Cyprus,country/cyprus/,Asia
Czechia,country/czech-republic/,Europe
Denmark,country/denmark/,Europe
Djibouti,country/djibouti/,Africa
Dominica,country/dominica/,North America
Dominican Republic,country/dominican-republic/,North America
DRC,country/democratic-republic-of-the-congo/,Africa
Ecuador,country/ecuador/,South America
Egypt,country/egypt/,Africa
El Salvador,country/el-salvador/,North America
Equatorial Guinea,country/equatorial-guinea/,Africa
Eritrea,country/eritrea/,Africa
Estonia,country/estonia/,Europe
Eswatini,country/swaziland/,Africa
Ethiopia,country/ethiopia/,Africa
Faeroe Islands,country/faeroe-islands/,Europe
Falkland Islands,country/falkland-islands-malvinas/,South America
Fiji,country/fiji/,Oceania
Finland,country/finland/,Europe
France,country/france/,Europe
French Guiana,country/french-guiana/,South America
French Polynesia,country/french-polynesia/,Oceania
Gabon,country/gabon/,Africa
Gambia,country/gambia/,Africa
Georgia,country/georgia/,Asia
Germany,country/germany/,Europe
Ghana,country/ghana/,Africa
Gibraltar,country/gibraltar/,Europe
Greece,country/greece/,Europe
Greenland,country/greenland/,North America
Grenada,country/grenada/,North America
Guadeloupe,country/guadeloupe/,North America
Guatemala,country/guatemala/,North America
Guinea,country/guinea/,Africa
Guinea-Bissau,country/guinea-bissau/,Africa
Guyana,country/guyana/,South America
Haiti,country/haiti/,North America
Honduras,country/honduras/,North America
Hong Kong,country/china-hong-kong-sar/,Asia
Hungary,country/hungary/,Europe
Iceland,country/iceland/,Europe
India,country/india/,Asia
Indonesia,country/indonesia/,Asia
Iran,country/iran/,Asia
Iraq,country/iraq/,Asia
Ireland,country/ireland/,Europe
Isle of Man,country/isle-of-man/,Europe
Israel,country/israel/,Asia
Italy,country/italy/,Europe
Ivory Coast,country/cote-d-ivoire/,Africa
Jamaica,country/jamaica/,North America
Japan,country/japan/,Asia
Jordan,country/jordan/,Asia
Kazakhstan,country/kazakhstan/,Asia
Kenya,country/kenya/,Africa
Kuwait,country/kuwait/,Asia
Kyrgyzstan,country/kyrgyzstan/,Asia
Laos,country/laos/,Asia
Latvia,country/latvia/,Europe
Lebanon,country/lebanon/,Asia
Liberia,country/liberia/,Africa
Libya,country/libya/,Africa
Liechtenstein,country/liechtenstein/,Europe
Lithuania,country/lithuania/,Europe
Luxembourg,country/luxembourg/,Europe
Macao,country/china-macao-sar/,Asia
Madagascar,country/madagascar/,Africa
Malawi,country/malawi/,Africa
Malaysia,country/malaysia/,Asia
Maldives,country/maldives/,Asia
Mali,country/mali/,Africa
Malta,country/malta/,Europe
Martinique,country/martinique/,North America
Mauritania,country/mauritania/,Africa
Mauritius,country/mauritius/,Africa
Mayotte,country/mayotte/,Africa
Mexico,country/mexico/,North America
Moldova,country/moldova/,Europe
Monaco,country/monaco/,Europe
Mongolia,country/mongolia/,Asia
Montenegro,country/montenegro/,Europe
Montserrat,country/montserrat/,North America
Morocco,country/morocco/,Africa
Mozambique,country/mozambique/,Africa
Myanmar,country/myanmar/,Asia
Namibia,country/namibia/,Africa
Nepal,country/nepal/,Asia
Netherlands,country/netherlands/,Europe
New Caledonia,country/new-caledonia/,Oceania
New Zealand,country/new-zealand/,Oceania
Nicaragua,country/nicaragua/,North America
Niger,country/niger/,Africa
Nigeria,country/nigeria/,Africa
North Macedonia,country/macedonia/,Europe
Norway,country/norway/,Europe
Oman,country/oman/,Asia
Pakistan,country/pakistan/,Asia
Palestine,country/state-of-palestine/,Asia
Panama,country/panama/,North America
Papua New Guinea,country/papua-new-guinea/,Oceania
Paraguay,country/paraguay/,South America
Peru,country/peru/,South America
Philippines,country/philippines/,Asia
Poland,country/poland/,Europe
Portugal,country/portugal/,Europe
Qatar,country/qatar/,Asia
Réunion,country/reunion/,Africa
Romania,country/romania/,Europe
Russia,country/russia/,Europe
Rwanda,country/rwanda/,Africa
S. Korea,country/south-korea/,Asia
Saint Kitts and Nevis,country/saint-kitts-and-nevis/,North America
Saint Lucia,country/saint-lucia/,North America
Saint Martin,country/saint-martin/,North America
Saint Pierre Miquelon,country/saint-pierre-and-miquelon/,North America
San Marino,country/san-marino/,Europe
Sao Tome and Principe,country/sao-tome-and-principe/,Africa
Saudi Arabia,country/saudi-arabia/,Asia
Senegal,country/senegal/,Africa
Serbia,country/serbia/,Europe
Seychelles,country/seychelles/,Africa
Sierra Leone,country/sierra-leone/,Africa
Singapore,country/singapore/,Asia
Sint Maarten,country/sint-maarten/,North America
Slovakia,country/slovakia/,Europe
Slovenia,country/slovenia/,Europe
Somalia,country/somalia/,Africa
South Africa,country/south-africa/,Africa
South Sudan,country/south-sudan/,Africa
Spain,country/spain/,Europe
Sri Lanka,country/sri-lanka/,Asia
St. Barth,country/saint-barthelemy/,North America
St. Vincent Grenadines,country/saint-vincent-and-the-grenadines/,North America
Sudan,country/sudan/,Africa
Suriname,country/suriname/,South America
Sweden,country/sweden/,Europe
Switzerland,country/switzerland/,Europe
Syria,country/syria/,Asia
Taiwan,country/taiwan/,Asia
Tanzania,country/tanzania/,Africa
Thailand,country/thailand/,Asia
Timor-Leste,country/timor-leste/,Asia
Togo,country/togo/,Africa
Trinidad and Tobago,country/trinidad-and-tobago/,North America
Tunisia,country/tunisia/,Africa
Turkey,country/turkey/,Asia
Turks and Caicos,country/turks-and-caicos-islands/,North America
UAE,country/united-arab-emirates/,Asia
Uganda,country/uganda/,Africa
UK,country/uk/,Europe
Ukraine,country/ukraine/,Europe
Uruguay,country/uruguay/,South America
USA,country/us/,North America
Uzbekistan,country/uzbekistan/,Asia
Vatican City,country/holy-see/,Europe
Venezuela,country/venezuela/,South America
Vietnam,country/viet-nam/,Asia
Western Sahara,country/western-sahara/,Africa
Yemen,country/yemen/,Asia
Zambia,country/zambia/,Africa
Zimbabwe,country/zimbabwe/,Africa
